Constituency code,Index of Multiple Deprivation
E14000530,15.00
E14000531,18.72
E14000532,10.39
E14000533,20.90
E14000534,11.21
E14000535,27.00
E14000536,18.71
E14000537,34.31
E14000538,12.03
E14000539,15.04
E14000540,33.59
E14000541,30.65
E14000542,32.43
E14000543,27.21
E14000544,21.91
E14000545,14.74
E14000546,22.70
E14000547,12.07
E14000548,26.82
E14000549,16.53
E14000550,8.57
E14000551,9.89
E14000552,23.21
E14000553,25.85
E14000554,19.92
E14000555,30.02
E14000556,15.79
E14000557,17.17
E14000558,17.04
E14000559,43.77
E14000560,31.49
E14000561,46.70
E14000562,39.13
E14000563,49.34
E14000564,45.46
E14000565,39.08
E14000566,37.50
E14000567,30.77
E14000568,40.52
E14000569,29.07
E14000570,39.33
E14000571,46.85
E14000572,35.12
E14000573,48.36
E14000574,20.94
E14000575,27.31
E14000576,21.50
E14000577,24.59
E14000578,34.10
E14000579,36.84
E14000580,21.59
E14000581,42.51
E14000582,28.92
E14000583,13.95
E14000584,21.57
E14000585,22.22
E14000586,10.79
E14000587,44.01
E14000588,38.20
E14000589,42.57
E14000590,14.83
E14000591,30.72
E14000592,20.49
E14000593,19.48
E14000594,11.54
E14000595,23.61
E14000596,17.44
E14000597,27.13
E14000598,17.30
E14000599,26.21
E14000600,24.33
E14000601,32.70
E14000602,22.77
E14000603,13.91
E14000604,16.58
E14000605,11.70
E14000606,17.43
E14000607,12.63
E14000608,8.92
E14000609,37.79
E14000610,20.12
E14000611,23.71
E14000612,23.66
E14000613,13.46
E14000614,20.61
E14000615,28.63
E14000616,26.51
E14000617,15.44
E14000618,20.43
E14000619,15.48
E14000620,23.01
E14000621,17.13
E14000622,16.84
E14000623,16.26
E14000624,14.65
E14000625,10.64
E14000626,24.80
E14000627,11.48
E14000628,12.53
E14000629,17.28
E14000630,14.54
E14000631,6.95
E14000632,24.41
E14000633,13.93
E14000634,18.60
E14000635,12.52
E14000636,14.02
E14000637,17.77
E14000638,11.65
E14000639,16.96
E14000640,18.04
E14000641,18.11
E14000642,35.90
E14000643,22.24
E14000644,19.75
E14000645,19.37
E14000646,12.51
E14000647,23.44
E14000648,20.03
E14000649,31.70
E14000650,22.39
E14000651,22.28
E14000652,18.94
E14000653,19.57
E14000654,24.23
E14000655,27.42
E14000656,14.61
E14000657,26.78
E14000658,27.86
E14000659,18.27
E14000660,12.43
E14000661,28.07
E14000662,22.99
E14000663,34.64
E14000664,11.84
E14000665,12.61
E14000666,25.07
E14000667,26.70
E14000668,30.66
E14000669,33.48
E14000670,23.07
E14000671,29.93
E14000672,25.39
E14000673,23.77
E14000674,19.96
E14000675,23.35
E14000676,25.31
E14000677,36.19
E14000678,11.64
E14000679,28.57
E14000680,10.94
E14000681,12.08
E14000682,16.38
E14000683,20.46
E14000684,21.25
E14000685,11.48
E14000686,17.50
E14000687,32.90
E14000688,21.35
E14000689,13.76
E14000690,22.45
E14000691,26.86
E14000692,16.32
E14000693,14.87
E14000694,8.19
E14000695,20.63
E14000696,24.15
E14000697,8.24
E14000698,17.03
E14000699,9.45
E14000700,19.06
E14000701,23.53
E14000702,11.22
E14000703,14.91
E14000704,23.73
E14000705,17.72
E14000706,15.80
E14000707,20.49
E14000708,35.48
E14000709,35.41
E14000710,15.74
E14000711,22.74
E14000712,23.03
E14000713,18.43
E14000714,14.41
E14000715,21.41
E14000716,37.81
E14000717,33.10
E14000718,24.85
E14000719,8.90
E14000720,30.79
E14000721,34.39
E14000722,23.80
E14000723,32.20
E14000724,8.75
E14000725,31.79
E14000726,25.15
E14000727,17.72
E14000728,10.73
E14000729,20.42
E14000730,10.53
E14000731,15.75
E14000732,15.71
E14000733,35.04
E14000734,17.02
E14000735,32.26
E14000736,23.92
E14000737,24.47
E14000738,18.76
E14000739,15.84
E14000740,29.00
E14000741,19.20
E14000742,8.35
E14000743,19.31
E14000744,7.93
E14000745,13.94
E14000746,12.50
E14000747,30.39
E14000748,15.64
E14000749,8.26
E14000750,23.64
E14000751,16.37
E14000752,20.81
E14000753,9.36
E14000754,30.47
E14000755,18.02
E14000756,29.77
E14000757,12.60
E14000758,33.26
E14000759,16.29
E14000760,20.22
E14000761,26.26
E14000762,23.29
E14000763,28.38
E14000764,26.70
E14000765,28.04
E14000766,25.79
E14000767,9.79
E14000768,23.02
E14000769,19.23
E14000770,12.55
E14000771,37.99
E14000772,39.13
E14000773,40.13
E14000774,12.95
E14000775,46.27
E14000776,24.04
E14000777,41.75
E14000778,42.59
E14000779,20.24
E14000780,15.97
E14000781,37.87
E14000782,27.30
E14000783,29.12
E14000784,36.77
E14000785,25.72
E14000786,15.02
E14000787,26.53
E14000788,23.99
E14000789,26.64
E14000790,22.32
E14000791,12.04
E14000792,24.49
E14000793,37.05
E14000794,55.68
E14000795,38.08
E14000796,45.13
E14000797,14.51
E14000798,26.33
E14000799,17.77
E14000800,23.53
E14000801,27.38
E14000802,13.18
E14000803,7.56
E14000804,15.27
E14000805,21.78
E14000806,13.22
E14000807,42.27
E14000808,39.22
E14000809,26.69
E14000810,28.50
E14000811,11.12
E14000812,21.96
E14000813,9.21
E14000814,10.41
E14000815,10.64
E14000816,16.73
E14000817,7.71
E14000818,16.40
E14000819,45.46
E14000820,27.32
E14000821,16.35
E14000822,19.57
E14000823,20.08
E14000824,9.73
E14000825,28.19
E14000826,18.33
E14000827,13.70
E14000828,12.27
E14000829,16.09
E14000830,10.55
E14000831,35.96
E14000832,28.38
E14000833,24.42
E14000834,19.37
E14000835,16.75
E14000836,30.30
E14000837,23.62
E14000838,20.56
E14000839,13.84
E14000840,26.23
E14000841,10.99
E14000842,23.75
E14000843,17.68
E14000844,6.19
E14000845,12.01
E14000846,11.41
E14000847,18.41
E14000848,20.97
E14000849,18.14
E14000850,8.72
E14000851,17.54
E14000852,26.81
E14000853,26.52
E14000854,19.92
E14000855,17.79
E14000856,23.61
E14000857,11.86
E14000858,14.57
E14000859,24.68
E14000860,11.86
E14000861,24.35
E14000862,26.95
E14000863,21.41
E14000864,24.40
E14000865,36.33
E14000866,44.38
E14000867,25.37
E14000868,23.94
E14000869,11.81
E14000870,31.67
E14000871,35.49
E14000872,12.85
E14000873,18.58
E14000874,8.94
E14000875,30.72
E14000876,16.81
E14000877,16.95
E14000878,31.41
E14000879,30.10
E14000880,30.88
E14000881,15.87
E14000882,25.99
,24.95
E14000884,28.65
E14000885,37.95
E14000886,15.04
E14000887,16.27
E14000888,9.84
E14000889,14.45
E14000890,19.10
E14000891,32.46
E14000892,21.83
E14000893,11.42
E14000894,12.27
E14000895,12.03
E14000896,9.08
E14000897,38.26
E14000898,21.28
E14000899,27.75
E14000900,16.21
E14000901,13.32
E14000902,25.06
E14000903,22.75
E14000904,38.52
E14000905,14.54
E14000906,10.69
E14000907,10.86
E14000908,7.16
E14000909,10.52
E14000910,10.10
E14000911,33.97
E14000912,13.60
E14000913,26.53
E14000914,26.67
E14000915,26.66
E14000916,14.28
E14000917,12.40
E14000918,12.17
E14000919,24.97
E14000920,27.78
E14000921,43.86
E14000922,7.63
E14000923,31.86
E14000924,20.33
E14000925,18.77
E14000926,16.32
E14000927,28.45
E14000928,12.41
E14000929,11.96
E14000930,22.85
E14000931,12.29
E14000932,15.92
E14000933,24.31
E14000934,8.05
E14000935,14.49
E14000936,22.22
E14000937,10.14
E14000938,21.54
E14000939,16.80
E14000940,9.96
E14000941,13.76
E14000942,8.43
E14000943,14.14
E14000944,33.55
E14000945,13.14
E14000946,14.24
E14000947,19.76
E14000948,28.72
E14000949,15.76
E14000950,11.32
E14000951,8.24
E14000952,22.03
E14000953,7.52
E14000954,16.51
E14000955,27.24
E14000956,27.93
E14000957,15.90
E14000958,22.03
E14000959,14.94
E14000960,9.54
E14000961,23.95
E14000962,30.43
E14000963,33.77
E14000964,24.18
E14000965,14.37
E14000966,15.28
E14000967,30.02
E14000968,18.41
E14000969,30.40
E14000970,32.89
E14000971,19.43
E14000972,36.19
E14000973,33.69
E14000974,30.95
E14000975,12.58
E14000976,20.51
E14000977,11.94
E14000978,22.69
E14000979,23.12
E14000980,11.20
E14000981,15.99
E14000982,30.67
E14000983,8.85
E14000984,10.82
E14000985,13.49
E14000986,19.53
E14000987,11.18
E14000988,17.64
E14000989,29.76
E14000990,11.59
E14000991,10.60
E14000992,18.17
E14000993,15.39
E14000994,10.79
E14000995,22.75
E14000996,15.50
E14000997,12.84
E14000998,17.00
E14000999,29.44
E14001000,21.22
E14001001,19.40
E14001002,34.58
E14001003,18.46
E14001004,11.10
E14001005,9.31
E14001006,17.72
E14001007,15.60
E14001008,26.81
E14001009,26.18
E14001010,35.11
E14001011,39.62
E14001012,33.62
E14001013,27.14
E14001014,27.66
E14001015,8.85
E14001016,34.67
E14001017,23.65
E14001018,14.91
E14001019,13.36
E14001020,30.61
E14001021,14.43
E14001022,26.78
E14001023,12.34
E14001024,21.48
E14001025,20.26
E14001026,17.03
E14001027,14.55
E14001028,31.02
E14001029,34.71
E14001030,36.47
E14001031,15.78
E14001032,30.49
E14001033,19.88
E14001034,17.34
E14001035,15.62
E14001036,23.19
E14001037,12.19
E14001038,22.43
E14001039,27.91
E14001040,8.68
E14001041,8.04
E14001042,8.44
E14001043,17.04
E14001044,17.48
E14001045,13.31
E14001046,8.68
E14001047,10.73
E14001048,6.13
E14001049,33.75
E14001050,36.69
E14001051,25.06
E14001052,20.41
E14001053,24.70
E14001054,32.03
E14001055,16.90
E14001056,13.03
E14001057,11.51
E14001058,22.44
E14001059,34.85
E14001060,18.39
E14001061,15.82
E14001062,7.01
